x,y,r,maturity,stress,nab1,t_birth,t_death
402,116,150,1,0,0,993.8,1066.0
670,-380,150,0,0,0,1068.4,-1068.4
648,-483,150,1,0,0,1059.3,1076.2
886,403,150,1,0,0,1073.2,1080.0
270,-460,150,1,0,0,1075.4,1080.7
838,196,150,0,0,0,1081.2,-1081.3
370,-126,150,1,0,0,1055.7,1093.9
505,494,150,1,0,0,1084.2,1093.9
948,-77,150,0,0,0,1097.2,-1097.2
892,168,150,1,0,0,1088.0,1102.3
479,-209,150,0,0,0,1108.6,-1108.8
25,-66,150,1,0,0,1079.7,1110.8
496,-189,150,0,0,0,1113.4,-1113.5
442,61,150,1,0,0,1100.9,1114.6
515,74,150,1,0,0,1091.7,1115.0
158,-15,150,1,0,0,1071.7,1115.9
862,-149,150,0,0,0,1117.9,-1118.0
97,252,150,1,0,0,1078.7,1121.4
609,-440,150,0,0,0,1122.3,-1122.3
566,-435,150,0,0,0,1126.3,-1126.3
589,243,150,0,0,0,1128.4,-1128.4
618,390,150,1,0,0,1078.3,1129.6
641,406,150,1,0,0,1116.1,1130.0
942,213,150,1,0,0,1092.0,1131.8
891,224,150,1,0,0,1117.5,1132.1
275,-253,150,1,0,0,1110.1,1132.6
446,444,150,1,0,0,1095.7,1137.7
204,301,150,1,0,0,1097.9,1139.1
53,427,150,1,0,0,1102.3,1139.8
382,-479,150,1,0,0,1129.4,1143.4
643,-283,150,0,0,0,1147.5,-1147.6
430,-166,150,0,0,0,1158.7,-1158.8
923,196,150,1,0,0,1134.7,1160.6
639,189,150,0,0,0,1161.3,-1161.4
675,498,150,1,0,0,1157.3,1161.7
371,371,150,1,0,0,1148.9,1162.5
57,55,150,1,0,0,1160.6,1164.5
675,129,150,0,0,0,1166.5,-1166.5
223,209,150,1,0,0,1134.6,1167.5
172,397,150,1,0,0,1153.5,1172.3
220,375,150,1,0,0,1020.8,1172.5
33,6,150,1,0,0,1136.0,1174.6
380,238,150,1,0,0,1165.6,1177.7
385,219,150,1,0,0,1174.8,1178.4
357,313,150,1,0,0,1178.3,1181.7
527,196,150,1,0,0,1147.2,1187.0
591,490,150,1,0,0,1129.9,1187.9
10,220,150,1,0,0,1166.7,1189.0
44,284,150,1,0,0,1183.1,1189.1
166,-473,150,1,0,0,1178.8,1189.6
752,-139,150,0,0,0,1190.4,-1190.4
984,375,150,1,0,0,1130.4,1197.6
816,-251,150,0,0,0,1197.9,-1197.9
448,-241,150,0,0,0,1201.4,-1201.4
941,379,150,1,0,0,1199.3,1201.8
776,-37,150,0,0,0,1201.8,-1201.8
906,-8,150,1,0,0,1103.4,1202.3
723,109,150,0,0,0,1207.0,-1207.0
991,-21,150,1,0,0,1203.1,1210.1
804,258,150,0,0,0,1210.4,-1210.4
878,-325,150,1,0,0,1205.2,1216.3
168,-18,150,1,0,0,1060.4,1220.0
754,-148,150,0,0,0,1227.9,-1227.9
229,38,150,1,0,0,1181.7,1228.2
927,376,150,1,0,0,1217.5,1228.5
622,454,150,1,0,0,1202.0,1236.5
281,-77,150,1,0,0,1161.1,1239.6
649,417,150,1,0,0,1208.9,1239.7
79,-46,150,1,0,0,1209.6,1240.2
595,256,150,0,0,0,1240.6,-1240.6
100,-254,150,1,0,0,1231.7,1241.3
840,-247,150,0,0,0,1242.1,-1242.1
755,-60,150,0,0,0,1244.2,-1244.3
2,307,150,1,0,0,1157.2,1245.4
574,156,150,0,0,0,1245.6,-1245.6
929,489,150,1,0,0,1208.2,1245.7
918,483,150,1,0,0,1236.5,1247.7
603,122,150,0,0,0,1249.8,-1249.8
464,-496,150,1,0,0,1233.3,1250.7
991,-324,150,1,0,0,1254.6,1255.1
911,61,150,1,0,0,1209.3,1260.7
324,396,150,1,0,0,1239.7,1260.8
245,82,150,1,0,0,1260.1,1264.0
983,385,150,1,0,0,1251.6,1265.6
687,-24,150,1,0,0,1147.7,1267.0
808,482,150,1,0,0,1235.2,1267.3
646,347,150,1,0,0,1251.5,1268.6
960,119,150,1,0,0,1221.6,1269.6
420,0,150,1,0,0,1259.4,1273.1
395,110,150,1,0,0,1260.1,1276.6
775,-47,150,0,0,0,1278.6,-1278.6
863,-139,150,0,0,0,1281.7,-1281.7
289,58,150,1,0,0,1231.8,1284.0
955,232,150,1,0,0,1283.0,1285.6
738,-478,150,1,0,0,1232.6,1287.4
692,334,150,0,0,0,1288.9,-1289.0
44,-86,150,1,0,0,1286.8,1289.8
209,-386,150,1,0,0,1287.0,1290.8
656,-209,150,0,0,0,1291.3,-1291.3
52,197,150,1,0,0,1228.4,1293.5
462,468,150,1,0,0,1281.1,1298.5
702,-17,150,1,0,0,1245.0,1299.6
455,344,150,1,0,0,1192.2,1299.8
68,378,150,1,0,0,1273.1,1299.9
7,71,150,1,0,0,1253.0,1302.8
498,-442,150,1,0,0,1256.1,1305.4
802,466,150,1,0,0,1282.1,1307.1
21,-174,150,1,0,0,1262.3,1308.7
355,-275,150,1,0,0,1268.2,1312.4
21,149,150,1,0,0,1299.6,1313.1
487,-173,150,0,0,0,1313.8,-1313.9
391,284,150,1,0,0,1238.2,1314.1
641,70,150,0,0,0,1316.7,-1316.8
862,-238,150,0,0,0,1320.4,-1320.4
275,238,150,1,0,0,1288.0,1324.2
254,152,150,1,0,0,1261.9,1324.3
240,-58,150,1,0,0,1321.2,1328.7
491,361,150,1,0,0,1289.4,1332.2
523,-252,150,0,0,0,1333.0,-1333.1
962,-26,150,0,0,0,1334.1,-1334.1
852,-264,150,0,0,0,1335.7,-1335.7
862,-281,150,0,0,0,1336.4,-1336.4
133,-183,150,1,0,0,1328.4,1339.7
488,-410,150,0,0,0,1345.6,-1345.7
940,-489,150,1,0,0,1332.9,1350.0
459,182,150,1,0,0,1332.0,1351.6
97,295,150,1,0,0,1308.3,1353.4
338,-331,150,1,0,0,1274.8,1354.1
400,-191,150,1,0,0,1310.2,1356.1
589,-430,150,0,0,0,1357.1,-1357.1
590,168,150,0,0,0,1361.4,-1361.5
827,-100,150,0,0,0,1361.7,-1362.1
435,126,150,1,0,0,1354.8,1365.7
573,-431,150,0,0,0,1366.3,-1366.5
141,-288,150,1,0,0,1347.8,1370.7
711,-71,150,0,0,0,1372.1,-1372.1
132,-281,150,1,0,0,1342.9,1372.5
708,394,150,1,0,0,1368.9,1373.3
302,-49,150,1,0,0,1322.7,1374.6
621,265,150,0,0,0,1375.1,-1375.1
483,-160,150,0,0,0,1376.3,-1376.4
711,181,150,0,0,0,1377.4,-1377.4
874,-24,150,0,0,0,1377.6,-1377.7
698,-267,150,1,0,0,1358.8,1379.1
590,-127,150,1,0,0,1355.6,1379.9
429,-124,150,1,0,0,1333.6,1380.3
60,-464,150,1,0,0,1375.3,1381.5
801,-224,150,0,0,0,1382.0,-1382.0
285,2,150,1,0,0,1352.2,1382.3
318,-417,150,1,0,0,1361.9,1382.6
409,152,150,1,0,0,1371.0,1383.0
315,244,150,1,0,0,1379.2,1383.3
570,44,150,1,0,0,1359.5,1384.2
341,179,150,1,0,0,1353.7,1386.0
243,-438,150,1,0,0,1354.9,1390.3
246,166,150,1,0,0,1393.1,1394.6
755,147,150,0,0,0,1395.2,-1395.3
205,-195,150,1,0,0,1391.7,1395.4
